"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"14 Jul 2025","FUTCOM","ALUMINI      ","31JUL2025","-","0.00","248.75","249.60","248.00","249.30","249.60","684","684.000 KGS  ","1702.33","932"
"14 Jul 2025","FUTCOM","ALUMINI      ","29AUG2025","-","0.00","249.55","250.80","249.05","250.50","250.50","210","210.000 KGS  ","525.11","319"
"14 Jul 2025","FUTCOM","ALUMINI      ","30SEP2025","-","0.00","250.50","251.85","250.05","251.05","251.40","11","11.000 KGS  ","27.61","19"
"14 Jul 2025","FUTCOM","ALUMINI      ","31OCT2025","-","0.00","","","","253.10","252.45","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","FUTCOM","ALUMINI      ","28NOV2025","-","0.00","","","","254.25","253.30","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","FUTCOM","ALUMINIUM    ","31JUL2025","-","0.00","248.55","249.50","247.75","249.35","249.75","877","4385.000 KGS  ","10906.87","3045"
"14 Jul 2025","FUTCOM","ALUMINIUM    ","29AUG2025","-","0.00","249.80","250.95","249.10","250.60","250.60","510","2550.000 KGS  ","6376.03","1418"
"14 Jul 2025","FUTCOM","ALUMINIUM    ","30SEP2025","-","0.00","","","","251.95","251.05","0","0.000 KGS  ","0.00","3"
"14 Jul 2025","FUTCOM","ALUMINIUM    ","31OCT2025","-","0.00","","","","253.30","252.40","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","FUTCOM","ALUMINIUM    ","28NOV2025","-","0.00","","","","254.50","253.25","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","800.00","","","","82.32","83.37","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","835.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","870.00","18.00","18.00","16.05","17.22","15.20","9","22.500 KGS  ","199.62","14"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","890.00","12.35","16.01","12.33","13.97","15.07","47","117.500 KGS  ","1062.29","147"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","830.00","","","","52.36","53.44","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","895.00","","","","13.83","13.62","0","0.000 KGS  ","0.00","5"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","825.00","","","","57.36","58.43","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","930.00","0.64","0.68","0.30","0.50","0.64","7","17.500 KGS  ","162.84","62"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","815.00","","","","67.34","68.40","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","920.00","0.73","0.84","0.36","0.57","1.10","41","102.500 KGS  ","943.67","148"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","775.00","","","","107.27","108.32","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","880.00","12.93","13.89","9.00","10.64","12.36","163","407.500 KGS  ","3629.42","160"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","935.00","","","","52.46","51.34","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","825.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","865.00","","","","18.02","19.41","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","795.00","","","","87.31","88.36","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","885.00","10.00","10.00","6.80","8.40","10.45","2","5.000 KGS  ","44.67","21"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","930.00","","","","47.47","46.36","0","0.000 KGS  ","0.00","1"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","820.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","865.00","","","","0.59","0.90","0","0.000 KGS  ","0.00","2"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","840.00","","","","42.38","43.47","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","875.00","5.93","5.93","5.93","5.93","6.83","1","2.500 KGS  ","22.02","8"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","850.00","","","","32.43","33.56","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","895.00","","","","1.30","8.86","0","0.000 KGS  ","0.00","8"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","920.00","","","","37.50","36.44","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","845.00","","","","0.01","0.03","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","810.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","910.00","2.00","2.27","1.40","1.77","2.39","89","222.500 KGS  ","2028.73","173"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","940.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","1"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","785.00","","","","97.29","98.34","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","885.00","10.80","12.50","10.26","11.64","12.55","15","37.500 KGS  ","336.19","8"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","860.00","","","","22.66","23.95","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","835.00","","","","47.37","48.45","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","855.00","","","","0.09","0.20","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","780.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","900.00","4.47","4.50","2.58","3.14","4.19","169","422.500 KGS  ","3816.87","417"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","910.00","28.94","28.94","28.94","28.94","26.73","1","2.500 KGS  ","23.47","18"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","880.00","7.51","10.04","6.93","8.19","8.43","177","442.500 KGS  ","3930.67","255"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","CE","855.00","","","","27.50","28.69","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","805.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","905.00","","","","22.79","22.07","0","0.000 KGS  ","0.00","5"
"14 Jul 2025","OPTFUT","COPPER       ","24JUL2025","PE","860.00","2.35","2.55","1.91","2.28","3.05","16","40.000 KGS  ","344.88","112"
